"date_report","province","c_daily","d_daily","c_pum","d_pum"
2020-01-25,"Ontario",1,0,1,0
2020-01-27,"Ontario",1,0,2,0
2020-01-28,"British Columbia",1,0,1,0
2020-01-31,"Ontario",1,0,3,0
2020-02-04,"British Columbia",1,0,2,0
2020-02-06,"British Columbia",2,0,4,0
2020-02-14,"British Columbia",1,0,5,0
2020-02-20,"British Columbia",1,0,6,0
2020-02-23,"Ontario",1,0,4,0
2020-02-24,"British Columbia",1,0,7,0
2020-02-26,"Ontario",1,0,5,0
2020-02-27,"Ontario",1,0,6,0
2020-02-27,"Quebec",1,0,1,0
2020-02-28,"Ontario",2,0,8,0
2020-02-29,"British Columbia",1,0,8,0
2020-02-29,"Ontario",3,0,11,0
2020-03-01,"Ontario",4,0,15,0
2020-03-03,"British Columbia",4,0,12,0
2020-03-03,"Ontario",5,0,20,0
2020-03-04,"British Columbia",1,0,13,0
2020-03-05,"Alberta",1,0,1,0
2020-03-05,"British Columbia",8,0,21,0
2020-03-05,"Ontario",2,0,22,0
2020-03-05,"Quebec",1,0,2,0
2020-03-06,"Alberta",1,0,2,0
2020-03-06,"Ontario",6,0,28,0
2020-03-06,"Quebec",1,0,3,0
2020-03-07,"British Columbia",6,0,27,0
2020-03-08,"Alberta",2,0,4,0
2020-03-08,"British Columbia",0,1,27,1
2020-03-08,"Ontario",4,0,32,0
2020-03-08,"Quebec",1,0,4,0
2020-03-09,"Alberta",10,0,14,0
2020-03-09,"British Columbia",5,0,32,1
2020-03-09,"Ontario",3,0,35,0
2020-03-09,"Quebec",1,0,5,0
2020-03-10,"British Columbia",7,0,39,1
2020-03-10,"Ontario",2,0,37,0
2020-03-11,"Alberta",5,0,19,0
2020-03-11,"British Columbia",7,0,46,1
2020-03-11,"Ontario",5,1,42,1
2020-03-11,"Quebec",3,0,8,0
2020-03-11,"Repatriated",1,0,1,0
2020-03-12,"Alberta",4,0,23,0
2020-03-12,"British Columbia",7,0,53,1
2020-03-12,"Manitoba",1,0,1,0
2020-03-12,"New Brunswick",1,0,1,0
2020-03-12,"Ontario",17,0,59,1
2020-03-12,"Quebec",9,0,17,0
2020-03-12,"Saskatchewan",1,0,1,0
2020-03-13,"Alberta",6,0,29,0
2020-03-13,"British Columbia",11,0,64,1
2020-03-13,"Manitoba",3,0,4,0
2020-03-13,"Ontario",20,0,79,1
2020-03-13,"Repatriated",1,0,2,0
2020-03-13,"Saskatchewan",1,0,2,0
2020-03-14,"Alberta",10,0,39,0
2020-03-14,"British Columbia",9,0,73,1
2020-03-14,"New Brunswick",1,0,2,0
2020-03-14,"Newfoundland and Labrador",1,0,1,0
2020-03-14,"Ontario",24,0,103,1
2020-03-14,"Prince Edward Island",1,0,1,0
2020-03-14,"Quebec",7,0,24,0
2020-03-14,"Repatriated",2,0,4,0
2020-03-14,"Saskatchewan",4,0,6,0
2020-03-15,"Alberta",17,0,56,0
2020-03-15,"Manitoba",3,0,7,0
2020-03-15,"New Brunswick",4,0,6,0
2020-03-15,"Nova Scotia",3,0,3,0
2020-03-15,"Ontario",42,0,145,1
2020-03-15,"Quebec",15,0,39,0
2020-03-16,"Alberta",18,0,74,0
2020-03-16,"British Columbia",30,3,103,4
2020-03-16,"Manitoba",1,0,8,0
2020-03-16,"New Brunswick",1,0,7,0
2020-03-16,"Nova Scotia",2,0,5,0
2020-03-16,"Ontario",32,0,177,1
2020-03-16,"Quebec",11,0,50,0
2020-03-16,"Repatriated",4,0,8,0
2020-03-16,"Saskatchewan",1,0,7,0
2020-03-17,"Alberta",23,0,97,0
2020-03-17,"British Columbia",83,3,186,7
2020-03-17,"Manitoba",7,0,15,0
2020-03-17,"New Brunswick",1,0,8,0
2020-03-17,"Newfoundland and Labrador",2,0,3,0
2020-03-17,"Nova Scotia",2,0,7,0
2020-03-17,"Ontario",12,0,189,1
2020-03-17,"Quebec",24,0,74,0
2020-03-17,"Repatriated",1,0,9,0
2020-03-17,"Saskatchewan",1,0,8,0
2020-03-18,"Alberta",22,0,119,0
2020-03-18,"British Columbia",45,0,231,7
2020-03-18,"Manitoba",2,0,17,0
2020-03-18,"New Brunswick",3,0,11,0
2020-03-18,"Nova Scotia",5,0,12,0
2020-03-18,"Ontario",25,0,214,1
2020-03-18,"Quebec",20,1,94,1
2020-03-18,"Saskatchewan",8,0,16,0
2020-03-19,"Alberta",27,1,146,1
2020-03-19,"British Columbia",40,1,271,8
2020-03-19,"Nova Scotia",2,0,14,0
2020-03-19,"Ontario",44,1,258,2
2020-03-19,"Prince Edward Island",1,0,2,0
2020-03-19,"Quebec",27,0,121,1
2020-03-19,"Repatriated",1,0,10,0
2020-03-19,"Saskatchewan",4,0,20,0
2020-03-20,"Alberta",49,0,195,1
2020-03-20,"British Columbia",77,1,348,9
2020-03-20,"Newfoundland and Labrador",1,0,4,0
2020-03-20,"Nova Scotia",1,0,15,0
2020-03-20,"Ontario",60,0,318,2
2020-03-20,"Quebec",18,0,139,1
2020-03-20,"Repatriated",2,0,12,0
2020-03-20,"Saskatchewan",6,0,26,0
2020-03-21,"Alberta",31,0,226,1
2020-03-21,"British Columbia",76,1,424,10
2020-03-21,"Manitoba",2,0,19,0
2020-03-21,"New Brunswick",6,0,17,0
2020-03-21,"Newfoundland and Labrador",2,0,6,0
2020-03-21,"Nova Scotia",6,0,21,0
2020-03-21,"NorthWest",1,0,1,0
2020-03-21,"Ontario",59,1,377,3
2020-03-21,"Quebec",42,3,181,4
2020-03-21,"Repatriated",1,0,13,0
2020-03-21,"Saskatchewan",18,0,44,0
2020-03-22,"Alberta",33,0,259,1
2020-03-22,"Newfoundland and Labrador",3,0,9,0
2020-03-22,"Nova Scotia",7,0,28,0
2020-03-22,"Ontario",48,3,425,6
2020-03-22,"Prince Edward Island",1,0,3,0
2020-03-22,"Quebec",38,0,219,4
2020-03-22,"Saskatchewan",8,0,52,0
2020-03-22,"Yukon",2,0,2,0
2020-03-23,"Alberta",42,0,301,1
2020-03-23,"British Columbia",48,3,472,13
2020-03-23,"Manitoba",1,0,20,0
2020-03-23,"Newfoundland and Labrador",15,0,24,0
2020-03-23,"Nova Scotia",13,0,41,0
2020-03-23,"Ontario",78,0,503,6
2020-03-23,"Quebec",409,0,628,4
2020-03-23,"Saskatchewan",14,0,66,0
2020-03-24,"Alberta",57,1,358,2
2020-03-24,"British Columbia",145,0,617,13
2020-03-24,"Manitoba",1,0,21,0
2020-03-24,"New Brunswick",1,0,18,0
2020-03-24,"Newfoundland and Labrador",11,0,35,0
2020-03-24,"Nova Scotia",10,0,51,0
2020-03-24,"Ontario",85,2,588,8
2020-03-24,"Quebec",412,0,1040,4
2020-03-24,"Saskatchewan",6,0,72,0
2020-03-25,"Alberta",61,0,419,2
2020-03-25,"British Columbia",42,1,659,14
2020-03-25,"Manitoba",14,0,35,0
2020-03-25,"New Brunswick",8,0,26,0
2020-03-25,"Newfoundland and Labrador",32,0,67,0
2020-03-25,"Nova Scotia",17,0,68,0
2020-03-25,"Ontario",100,5,688,13
2020-03-25,"Prince Edward Island",2,0,5,0
2020-03-25,"Quebec",299,2,1339,6
2020-03-25,"Saskatchewan",14,0,86,0
2020-03-25,"Yukon",1,0,3,0
2020-03-26,"Alberta",67,0,486,2
2020-03-26,"British Columbia",66,0,725,14
2020-03-26,"Manitoba",1,0,36,0
2020-03-26,"New Brunswick",7,0,33,0
2020-03-26,"Newfoundland and Labrador",15,0,82,0
2020-03-26,"Nova Scotia",5,0,73,0
2020-03-26,"Ontario",170,2,858,15
2020-03-26,"Prince Edward Island",4,0,9,0
2020-03-26,"Quebec",290,2,1629,8
2020-03-26,"Saskatchewan",9,0,95,0
2020-03-27,"Alberta",56,0,542,2
2020-03-27,"British Columbia",67,2,792,16
2020-03-27,"Manitoba",3,1,39,1
2020-03-27,"New Brunswick",12,0,45,0
2020-03-27,"Newfoundland and Labrador",20,0,102,0
2020-03-27,"Nova Scotia",17,0,90,0
2020-03-27,"Ontario",135,3,993,18
2020-03-27,"Prince Edward Island",2,0,11,0
2020-03-27,"Quebec",392,10,2021,18
2020-03-27,"Saskatchewan",9,0,104,0
2020-03-27,"Yukon",1,0,4,0
2020-03-28,"Alberta",79,0,621,2
2020-03-28,"British Columbia",92,1,884,17
2020-03-28,"Manitoba",25,0,64,1
2020-03-28,"New Brunswick",6,0,51,0
2020-03-28,"Newfoundland and Labrador",18,0,120,0
2020-03-28,"Nova Scotia",20,0,110,0
2020-03-28,"Ontario",151,1,1144,19
2020-03-28,"Quebec",477,4,2498,22
2020-03-28,"Saskatchewan",30,0,134,0
2020-03-29,"Alberta",40,1,661,3
2020-03-29,"Manitoba",8,0,72,1
2020-03-29,"New Brunswick",15,0,66,0
2020-03-29,"Newfoundland and Labrador",15,0,135,0
2020-03-29,"Nova Scotia",12,0,122,0
2020-03-29,"Ontario",211,4,1355,23
2020-03-29,"Quebec",342,0,2840,22
2020-03-29,"Saskatchewan",22,0,156,0
2020-03-30,"Alberta",29,5,690,8
2020-03-30,"British Columbia",86,2,970,19
2020-03-30,"Manitoba",24,0,96,1
2020-03-30,"New Brunswick",2,0,68,0
2020-03-30,"Newfoundland and Labrador",13,1,148,1
2020-03-30,"Nova Scotia",5,0,127,0
2020-03-30,"Ontario",351,11,1706,34
2020-03-30,"Prince Edward Island",7,0,18,0
2020-03-30,"Quebec",590,3,3430,25
2020-03-30,"Saskatchewan",20,2,176,2
2020-03-30,"Yukon",1,0,5,0
2020-03-31,"Alberta",64,1,754,9
2020-03-31,"British Columbia",43,5,1013,24
2020-03-31,"Manitoba",7,0,103,1
2020-03-31,"New Brunswick",2,0,70,0
2020-03-31,"Newfoundland and Labrador",4,0,152,1
2020-03-31,"Nova Scotia",20,0,147,0
2020-03-31,"Ontario",260,24,1966,58
2020-03-31,"Prince Edward Island",3,0,21,0
2020-03-31,"Quebec",732,6,4162,31
2020-03-31,"Saskatchewan",8,0,184,2
2020-04-01,"Alberta",117,2,871,11
2020-04-01,"British Columbia",53,1,1066,25
2020-04-01,"Manitoba",24,0,127,1
2020-04-01,"New Brunswick",11,0,81,0
2020-04-01,"Newfoundland and Labrador",23,0,175,1
2020-04-01,"Nova Scotia",26,0,173,0
2020-04-01,"NorthWest",1,0,2,0
2020-04-01,"Ontario",885,13,2851,71
2020-04-01,"Quebec",449,2,4611,33
2020-04-01,"Saskatchewan",9,1,193,3
2020-04-01,"Yukon",1,0,6,0
2020-04-02,"Alberta",97,2,968,13
2020-04-02,"British Columbia",55,6,1121,31
2020-04-02,"Manitoba",40,0,167,1
2020-04-02,"New Brunswick",10,0,91,0
2020-04-02,"Newfoundland and Labrador",8,0,183,1
2020-04-02,"Nova Scotia",20,0,193,0
2020-04-02,"Ontario",437,14,3288,85
2020-04-02,"Prince Edward Island",1,0,22,0
2020-04-02,"Quebec",907,3,5518,36
2020-04-02,"Saskatchewan",13,0,206,3
2020-04-03,"Alberta",107,5,1075,18
2020-04-03,"British Columbia",53,4,1174,35
2020-04-03,"Manitoba",15,1,182,2
2020-04-03,"New Brunswick",4,0,95,0
2020-04-03,"Newfoundland and Labrador",12,0,195,1
2020-04-03,"Nova Scotia",14,0,207,0
2020-04-03,"NorthWest",2,0,4,0
2020-04-03,"Ontario",398,18,3686,103
2020-04-03,"Quebec",583,25,6101,61
2020-04-03,"Saskatchewan",14,0,220,3
2020-04-04,"Alberta",106,2,1181,20
2020-04-04,"British Columbia",29,3,1203,38
2020-04-04,"Manitoba",12,0,194,2
2020-04-04,"New Brunswick",3,0,98,0
2020-04-04,"Newfoundland and Labrador",8,0,203,1
2020-04-04,"Nova Scotia",29,0,236,0
2020-04-04,"Ontario",335,30,4021,133
2020-04-04,"Quebec",896,14,6997,75
2020-04-04,"Saskatchewan",11,0,231,3
2020-04-05,"Alberta",69,3,1250,23
2020-04-05,"Manitoba",9,0,203,2
2020-04-05,"New Brunswick",3,0,101,0
2020-04-05,"Newfoundland and Labrador",14,0,217,1
2020-04-05,"Nova Scotia",26,0,262,0
2020-04-05,"Ontario",420,8,4441,141
2020-04-05,"Quebec",947,19,7944,94
2020-04-05,"Saskatchewan",18,0,249,3
2020-04-06,"Alberta",98,1,1348,24
2020-04-06,"British Columbia",63,1,1266,39
2020-04-06,"Manitoba",1,0,204,2
2020-04-06,"New Brunswick",2,0,103,0
2020-04-06,"Newfoundland and Labrador",9,1,226,2
2020-04-06,"Nova Scotia",31,0,293,0
2020-04-06,"NorthWest",1,0,5,0
2020-04-06,"Ontario",406,21,4847,162
2020-04-06,"Quebec",636,27,8580,121
2020-04-06,"Saskatchewan",4,0,253,3
2020-04-06,"Yukon",1,0,7,0
2020-04-07,"Alberta",25,2,1373,26
2020-04-07,"British Columbia",25,4,1291,43
2020-04-07,"Manitoba",13,1,217,3
2020-04-07,"New Brunswick",2,0,105,0
2020-04-07,"Newfoundland and Labrador",2,0,228,2
2020-04-07,"Nova Scotia",17,1,310,1
2020-04-07,"Ontario",548,27,5395,189
2020-04-07,"Quebec",760,29,9340,150
2020-04-07,"Saskatchewan",7,0,260,3
2020-04-08,"Alberta",50,3,1423,29
2020-04-08,"British Columbia",45,5,1336,48
2020-04-08,"Manitoba",4,0,221,3
2020-04-08,"New Brunswick",3,0,108,0
2020-04-08,"Newfoundland and Labrador",4,0,232,2
2020-04-08,"Nova Scotia",32,0,342,1
2020-04-08,"Ontario",447,22,5842,211
2020-04-08,"Prince Edward Island",3,0,25,0
2020-04-08,"Quebec",691,25,10031,175
2020-04-08,"Saskatchewan",11,0,271,3
2020-04-08,"Yukon",1,0,8,0
2020-04-09,"Alberta",28,3,1451,32
2020-04-09,"British Columbia",34,2,1370,50
2020-04-09,"Manitoba",3,0,224,3
2020-04-09,"New Brunswick",3,0,111,0
2020-04-09,"Newfoundland and Labrador",4,0,236,2
2020-04-09,"Nova Scotia",31,1,373,2
2020-04-09,"Ontario",559,22,6401,233
2020-04-09,"Quebec",881,41,10912,216
2020-04-09,"Saskatchewan",7,0,278,3
2020-04-10,"Alberta",49,7,1500,39
2020-04-10,"British Columbia",40,5,1410,55
2020-04-10,"Manitoba",6,1,230,4
2020-04-10,"New Brunswick",1,0,112,0
2020-04-10,"Newfoundland and Labrador",3,1,239,3
2020-04-10,"Nova Scotia",34,0,407,2
2020-04-10,"Ontario",407,36,6808,269
2020-04-10,"Quebec",765,25,11677,241
2020-04-10,"Saskatchewan",7,0,285,3
